"Apio", 64.07, 243
"Champignon", 3611.40, 110
"Caqui", 855.75, 115
"Apio", 61.07, 261
"Berenjena", 46.94, 564
"Mandarina", 15.68, 1130
"Ajo", 895.18, 105
"Pepino", 49.91, 410
"Frutilla", 309.47, 324
"Naranja", 14.32, 850
"Mandarina", 16.60, 820
"Lima", 1326.99, 160
"Caqui", 826.63, 96
"Cereza", 1056.25, 182
"Zanahoria", 25.63, 648
"Pomelo", 50.32, 936
"Ciruela", 924.96, 846
"Tomate", 703.91, 774
"Naranja", 9.65, 1060
"Kinoto", 31.68, 232
"Mandarina", 28.38, 1020
"Pepino", 35.50, 405
"Pepino", 35.61, 405
"Lima", 1195.96, 182
"Lima", 1231.88, 238
"Palta", 479.59, 435
"Pepino", 30.33, 530
"Durazno", 174.88, 680
"Coliflor", 19.93, 400
"Lima", 1347.70, 176
"Sandia", 48.22, 1026
"Coliflor", 26.39, 410
"Morron", 2872.85, 570
"Frutilla", 298.19, 288
"Batata", 23.11, 820
"Repollo", 4.27, 637
"Apio", 48.92, 357
"Brocoli", 357.98, 412
"Alcachofa", 148.78, 354
"Lima", 1329.54, 200
"Frutilla", 308.07, 288
"Pera", 158.42, 850
"Naranja", 13.35, 1010
"Limon", 348.69, 777
"Repollo", 4.20, 812
"TomCherry", 543.52, 162
"Choclo", 43.17, 315
"Uva", 722.09, 291
"Melon", 98.70, 440
"Lima", 1246.30, 240
"Brocoli", 376.36, 328
"Durazno", 147.10, 848
"Frambuesa", 2071.96, 114
"Alcachofa", 144.38, 348
"Banana", 63.05, 1150
"Batata", 18.79, 1000
"Coliflor", 32.29, 430
"Apio", 68.21, 315
"Palta", 475.17, 575
"Higo", 2507.81, 103
"Pomelo", 46.55, 891
"Coliflor", 30.24, 535
"Zanahoria", 38.90, 630
"Cebolla", 58.59, 832
"Papa", 20.68, 1000
"Lima", 1001.83, 228
"Pepino", 36.59, 465
"Durazno", 262.14, 944
"Zanahoria", 42.53, 510
"Caqui", 821.89, 101
"Kiwi", 418.88, 428
"Mandarina", 27.99, 800
"Berenjena", 56.65, 558
"Naranja", 15.06, 800
"Papa", 8.22, 950
"Banana", 56.14, 1050
"Mandarina", 7.60, 880
"Repollo", 6.14, 658
"Papa", 19.44, 920
"Uva", 766.86, 300
"Durazno", 163.60, 736
"Papa", 19.04, 1030
"Calabaza", 15.78, 888
"Frutilla", 287.09, 291
"Morron", 2944.94, 594
"Brocoli", 365.21, 320
"Naranja", 13.06, 850
"Pera", 157.44, 1090
"Pera", 144.82, 1120
"Kinoto", 21.50, 162
"Zuccini", 80.54, 546
"Mandarina", 16.10, 1070
"Tomate", 727.43, 783
"Caqui", 810.68, 100
"Choclo", 59.94, 252
"Uva", 710.82, 306
"Esparrago", 665.13, 170
"Durazno", 269.55, 920
"Choclo", 49.52, 276
"Pera", 150.37, 860
"Mandarina", 12.95, 880
"Alcachofa", 129.58, 345
"Palta", 1125.30, 356
"Mandarina", 27.07, 920
"Lima", 1014.73, 224
"Cebolla", 62.60, 920
"Apio", 42.69, 294
"Melon", 89.63, 392
"Mandarina", 25.31, 1090
"Frambuesa", 2022.61, 82
"Caqui", 791.87, 89
"Choclo", 57.49, 240
"Champignon", 3601.62, 117
"Palta", 1187.00, 388
"Higo", 2503.57, 100
"TomCherry", 533.94, 212
"Frutilla", 293.47, 246
"Manzana", 153.94, 1190
"Repollo", 10.09, 721
"Repollo", 9.01, 609
"Ciruela", 913.56, 747
"Frambuesa", 2093.97, 112
"Morron", 2995.58, 708
"Frambuesa", 1981.56, 112
"Papa", 17.57, 880
"Banana", 52.65, 1190
"Durazno", 178.48, 792
"Alcachofa", 159.10, 270
"Coliflor", 30.95, 555
"Lima", 1306.27, 178
"Naranja", 9.97, 850
"Banana", 72.46, 800
"Cebolla", 70.80, 944
"Frambuesa", 2017.44, 107
"Uva", 705.31, 309
"Champignon", 3671.12, 93
"Champignon", 3621.78, 100
"Melon", 91.78, 464
"Berenjena", 47.89, 558
"Batata", 21.70, 1110
"Banana", 69.80, 970
"Manzana", 141.60, 1090
"Calabaza", 16.98, 752
"Frambuesa", 1994.59, 87
"Cereza", 1065.99, 182
"Esparrago", 630.75, 188
"Durazno", 141.69, 712
"Zanahoria", 38.56, 558
"Cereza", 1008.87, 224
"Higo", 2517.08, 92
"Pera", 142.45, 940
"Palta", 468.94, 560
"Naranja", 17.11, 970
"Sandia", 55.42, 720
"Naranja", 17.80, 1090
"Palta", 1142.11, 404
"Morron", 2870.08, 564
"Calabaza", 25.28, 816
"Tomate", 777.65, 765
"Coliflor", 28.03, 485
"Lechuga", 45.76, 855
"Higo", 2480.62, 116
"Kiwi", 448.84, 448
"Limon", 324.43, 714
"Apio", 61.28, 354
"Pepino", 37.38, 600
"Durazno", 155.17, 936
"Calabaza", 17.49, 872
"Apio", 67.65, 342
"Durazno", 164.14, 920
"Alcachofa", 149.26, 255
"Esparrago", 629.26, 238
"Pera", 151.77, 880
"Batata", 17.58, 800
"Frambuesa", 1942.41, 108
"Acelga", 26.37, 720
"Morron", 3034.44, 504
"Banana", 75.63, 930
"Acelga", 15.25, 891
"Morron", 2934.93, 654
"Banana", 67.49, 960
"Pepino", 36.69, 485
"Acelga", 23.79, 918
"Frambuesa", 1973.01, 108
"Uva", 687.04, 333
"Zanahoria", 32.55, 528
"Manzana", 146.18, 900
"Kinoto", 33.42, 238
"Mandarina", 7.52, 1100
"Lechuga", 38.89, 747
"Pepino", 46.46, 495
"Palta", 1072.61, 452
"Choclo", 67.79, 255
"Ciruela", 971.22, 909
"Frambuesa", 2005.47, 101
"Durazno", 281.65, 888
"Esparrago", 632.01, 220
"Palta", 516.35, 485
"Kiwi", 423.36, 344
"Naranja", 10.04, 1080
"Esparrago", 619.58, 208
"Acelga", 25.66, 756
"TomCherry", 555.09, 170
"Sandia", 56.19, 963
"Berenjena", 67.45, 624
"Naranja", 15.45, 1010
"Tomate", 761.72, 810
"Esparrago", 600.80, 210
"Durazno", 156.33, 952
"Acelga", 12.47, 819
"Choclo", 73.81, 294
"Calabaza", 33.54, 720
"Durazno", 288.69, 872
"Berenjena", 60.19, 492
"Kinoto", 35.26, 230
"Cereza", 1072.17, 214
"Lima", 1416.50, 204
"Calabaza", 23.34, 752
"TomCherry", 575.14, 190
"Frambuesa", 2045.47, 81
"Pepino", 42.47, 400
"Morron", 2895.09, 516
"Choclo", 48.98, 318
"Palta", 431.64, 565
"Caqui", 833.10, 99
"Apio", 64.62, 351
"Champignon", 3574.36, 106
"Uva", 677.35, 264
"Frambuesa", 2099.76, 110
"Uva", 730.68, 309
"Lechuga", 34.88, 756
"Calabaza", 25.43, 824
"Cereza", 995.98, 180
"Rabanito", 222.95, 276
"Pomelo", 54.35, 891
"Frutilla", 275.93, 276
"Caqui", 814.04, 107
"Lima", 1005.46, 218
"Lima", 1313.30, 238
"Higo", 2446.98, 90
"Mandarina", 21.34, 1160
"Ajo", 869.17, 94
"Zanahoria", 31.96, 642
"Pepino", 37.02, 560
"Tomate", 731.41, 900
"Apio", 47.84, 312
"Ciruela", 1006.22, 927
"Kiwi", 421.21, 336
"Repollo", 4.21, 693
"Papa", 11.43, 890
"Mandarina", 22.52, 890
"Lima", 1025.94, 194
"Tomate", 735.69, 783
"Caqui", 819.58, 81
"Durazno", 128.75, 776
"Banana", 80.59, 900
"Ciruela", 1023.42, 837
"Mandarina", 12.20, 1140
"Berenjena", 50.64, 516
"Palta", 1145.67, 440
"Limon", 310.15, 595
"Mandarina", 18.42, 970
"Lima", 1370.79, 228
"Apio", 38.71, 279
"Zuccini", 88.52, 660
"Naranja", 13.31, 1190
"Zanahoria", 25.29, 618
"Melon", 93.72, 380
"Higo", 2511.76, 100
"Zanahoria", 20.91, 690
"Calabaza", 17.51, 904
"Frambuesa", 2051.45, 117
"Sandia", 60.44, 747
"Naranja", 15.32, 1000
"Rabanito", 209.96, 258
"Durazno", 149.58, 848
"Ajo", 883.15, 115
"Cebolla", 63.85, 888
"Kiwi", 470.16, 448
"Lima", 1189.64, 182
"Pera", 144.11, 950
"Choclo", 45.07, 282
"Repollo", 3.56, 567
"Choclo", 54.78, 270
"Lima", 1045.00, 228
"Kiwi", 440.21, 456
"Mandarina", 11.92, 1040
"Durazno", 138.31, 872
"Morron", 2957.37, 720
"Esparrago", 651.02, 232
"Repollo", 5.58, 742
"Naranja", 15.22, 1010
"Cereza", 1042.40, 204
"Mandarina", 26.45, 980
"Tomate", 726.04, 972
"Limon", 343.08, 735
"Higo", 2482.28, 99
"Repollo", 6.03, 658
"Zuccini", 81.38, 564
"Choclo", 55.69, 348
"Pera", 146.85, 1190
"Lima", 1244.77, 170
"Alcachofa", 163.22, 276
"Lima", 1324.98, 188
"Batata", 14.51, 1170
"Lechuga", 40.42, 963
"Pera", 155.38, 1040
"Ciruela", 952.99, 981
"Caqui", 820.81, 106
"Pomelo", 38.61, 864
"Banana", 69.57, 1070
"Cebolla", 72.29, 904
"Papa", 15.89, 940
"Papa", 17.63, 1020
"Durazno", 132.24, 744
"Sandia", 55.66, 963
"Kinoto", 31.61, 194
"Frambuesa", 2106.14, 110
"Acelga", 25.32, 846
"Ciruela", 921.62, 810
"Esparrago", 620.55, 230
"Cereza", 1030.08, 204
"Morron", 2895.01, 642
"Choclo", 58.86, 327
"Mandarina", 19.47, 1120
"Lima", 1008.21, 200
"Apio", 58.73, 357
"Manzana", 129.42, 1100
"Cebolla", 68.34, 880
"Alcachofa", 157.75, 330
"Mandarina", 18.59, 800
"Palta", 1143.13, 444
"Acelga", 24.15, 900
"Banana", 67.45, 1060
"Lima", 1016.81, 222
"Ciruela", 940.88, 900
"Apio", 57.08, 309
"Uva", 690.58, 324
"Brocoli", 354.37, 344
"Manzana", 144.42, 980
"Mandarina", 35.30, 1000
"Zanahoria", 36.40, 480
"Cereza", 1039.22, 218
"Lechuga", 33.96, 738
"Acelga", 13.50, 990
"Uva", 655.38, 309
"Tomate", 759.40, 855
"Choclo", 62.65, 252
"Uva", 739.96, 243
"Uva", 693.17, 330
"Kiwi", 410.25, 432
"Acelga", 21.11, 981
"Durazno", 241.95, 912
"Caqui", 800.51, 119
"Limon", 338.94, 630
"Mandarina", 23.21, 990
"Palta", 1139.86, 404
"Rabanito", 241.65, 264
"Repollo", 5.18, 672
"Lima", 1385.13, 170
"Durazno", 295.18, 688
"Brocoli", 366.57, 352
"Ajo", 892.61, 86
"Pera", 150.50, 1040
"Palta", 479.48, 415
"Limon", 292.34, 644
"Coliflor", 24.87, 405
"Ciruela", 981.33, 963
"Palta", 458.64, 505
"Frutilla", 250.85, 336
"Naranja", 20.44, 1120
"Cebolla", 60.11, 848
"Frutilla", 282.18, 336
"Kiwi", 451.40, 380
"Naranja", 14.36, 1100
"Zanahoria", 37.10, 480
"Durazno", 283.60, 744
"Lima", 1204.77, 240
"Durazno", 139.37, 880
"Mandarina", 30.31, 980
"Cereza", 947.57, 176
"Calabaza", 21.08, 728
"Ciruela", 973.15, 801
"Alcachofa", 144.72, 249
"Rabanito", 230.80, 342
"Manzana", 127.75, 1200
"TomCherry", 530.20, 182
"Mandarina", 18.16, 980
"Lima", 1345.08, 174
"Lima", 1046.55, 176
"Batata", 18.20, 920
"Alcachofa", 155.55, 243
"Cereza", 1069.22, 192
"Melon", 117.22, 392
"Manzana", 125.90, 1190
"Naranja", 7.81, 1050
"Pomelo", 43.06, 837
"Cereza", 1030.46, 168
"Naranja", 13.29, 1180
"Melon", 97.08, 436
"Coliflor", 28.40, 505
"Lechuga", 44.21, 801
"Kinoto", 29.43, 168
"Palta", 1133.59, 476
"TomCherry", 519.44, 188
"Melon", 99.09, 464
"Melon", 114.68, 440
"Tomate", 745.85, 873
"TomCherry", 508.49, 160
"Coliflor", 40.11, 545
"Calabaza", 12.24, 944
"Cebolla", 67.85, 840
"Cereza", 1064.58, 200
"Zuccini", 70.30, 648
"Ajo", 886.85, 94
"Cereza", 987.27, 216
"Coliflor", 29.35, 470
"Frutilla", 318.97, 303
"Banana", 58.61, 980
"Naranja", 18.28, 800
"Frutilla", 330.43, 243
"Durazno", 180.70, 784
"Naranja", 14.60, 1170
"Uva", 725.82, 312
"Champignon", 3599.47, 90
"Cereza", 1007.24, 206
"Berenjena", 45.85, 690
"Repollo", 1.02, 609
"Naranja", 11.76, 960
"Papa", 17.17, 890
"Repollo", 1.38, 728
"Ajo", 948.64, 90
"Zuccini", 92.81, 576
"TomCherry", 557.23, 192
"Rabanito", 198.15, 291
"Apio", 50.76, 258
"Repollo", 8.16, 742
"Alcachofa", 146.44, 255
"Lima", 1426.49, 226
"Esparrago", 609.34, 214
"Esparrago", 641.91, 180
"Berenjena", 65.59, 582
"Caqui", 739.22, 93
"Brocoli", 324.65, 448
"Tomate", 731.02, 1053
"Acelga", 22.09, 927
"TomCherry", 555.86, 240
"Durazno", 287.66, 920
"Pomelo", 49.95, 918
"Frambuesa", 2144.75, 117
"Durazno", 153.42, 928
"Lechuga", 27.70, 873
"Calabaza", 17.89, 720
"Choclo", 52.92, 321
"Banana", 68.41, 900
"Pera", 154.43, 1180
"Batata", 19.73, 1200
"Brocoli", 361.28, 420
"Uva", 735.47, 279
"Higo", 2510.45, 99
"Frutilla", 333.60, 339
"Ciruela", 953.09, 720
"Papa", 24.44, 1130
"Champignon", 3561.87, 90
"Caqui", 855.69, 97
"Papa", 18.19, 990
"Acelga", 18.22, 990
"Alcachofa", 142.82, 309
"Lechuga", 42.73, 927
"Kiwi", 433.60, 396
"Durazno", 131.91, 648
"Melon", 103.79, 480
"TomCherry", 569.27, 174
"Zanahoria", 36.29, 708
"Uva", 736.58, 285
"Pepino", 32.73, 590
"Batata", 23.99, 870
"Ciruela", 960.75, 882
"Choclo", 63.16, 345
